Name	City	Country	IATA	ICAO	Elev	
Chisasibi Airport	Chisasibi	Canada	YKU	CSU2	-5	America/Toronto
Tête-à-la-Baleine Airport	Tête-à-la-Baleine	Canada	ZTB	CTB6	-4	America/Blanc-Sablon
La Tabatière Airport	La Tabatière	Canada	ZLT	CTU5	-4	America/Blanc-Sablon
Cat Lake Airport	Cat Lake	Canada	YAC	CYAC	-6	America/Winnipeg
Fort Frances Municipal Airport	Fort Frances	Canada	YAG	CYAG	-6	America/Winnipeg
Kasabonika Airport	Kasabonika	Canada	XKS	CYAQ	-5	America/Toronto
Kangirsuk Airport	Kangirsuk	Canada	YKG	CYAS	-5	America/Toronto
Attawapiskat Airport	Attawapiskat	Canada	YAT	CYAT	-5	America/Toronto
Lac Du Bonnet Airport	Lac Du Bonnet	Canada	\N	CYAX	-6	America/Winnipeg
Uranium City Airport	Uranium City	Canada	YBE	CYBE	-6	America/Regina
Lourdes de Blanc Sablon Airport	Lourdes-De-Blanc-Sablon	Canada	YBX	CYBX	-4	America/Blanc-Sablon
Cartwright Airport	Cartwright	Canada	YRF	CYCA	-4	America/Halifax
Chesterfield Inlet Airport	Chesterfield Inlet	Canada	YCS	CYCS	-6	America/Winnipeg
Nain Airport	Nain	Canada	YDP	CYDP	-4	America/Halifax
Fort Severn Airport	Fort Severn	Canada	YER	CYER	-5	America/Toronto
Fort Albany Airport	Fort Albany	Canada	YFA	CYFA	-5	America/Toronto
Fort Hope Airport	Fort Hope	Canada	YFH	CYFH	-5	America/Toronto
Makkovik Airport	Makkovik	Canada	YMN	CYFT	-4	America/Halifax
Texada Gillies Bay Airport	Texada	Canada	YGB	CYGB	-8	America/Vancouver
Gods Lake Narrows Airport	Gods Lake Narrows	Canada	YGO	CYGO	-6	America/Winnipeg
Igloolik Airport	Igloolik	Canada	YGT	CYGT	-5	America/Toronto
Kuujjuarapik Airport	Kuujjuarapik	Canada	YGW	CYGW	-5	America/Toronto
Gillam Airport	Gillam	Canada	YGX	CYGX	-6	America/Winnipeg
Grise Fiord Airport	Grise Fiord	Canada	YGZ	CYGZ	-5	America/Toronto
Quaqtaq Airport	Quaqtaq	Canada	YQC	CYHA	-5	America/Toronto
Vancouver Harbour Water Aerodrome	Vancouver	Canada	CXH	CYHC	-8	America/Vancouver
Nemiscau Airport	Nemiscau	Canada	YNS	CYHH	-5	America/Toronto
Hopedale Airport	Hopedale	Canada	YHO	CYHO	-4	America/Halifax
Chevery Airport	Chevery	Canada	YHR	CYHR	-4	America/Blanc-Sablon
Ivujivik Airport	Ivujivik	Canada	YIK	CYIK	-5	America/Toronto
Island Lake Airport	Island Lake	Canada	YIV	CYIV	-6	America/Winnipeg
Akulivik Airport	Akulivik	Canada	AKV	CYKO	-5	America/Toronto
Waskaganish Airport	Waskaganish	Canada	YKQ	CYKQ	-5	America/Toronto
Aupaluk Airport	Aupaluk	Canada	YPJ	CYLA	-5	America/Toronto
Kimmirut Airport	Kimmirut	Canada	YLC	CYLC	-5	America/Toronto
Lansdowne House Airport	Lansdowne House	Canada	YLH	CYLH	-5	America/Toronto
St Georges Airport	Lutselk'e	Canada	\N	CYSG	-5	America/Toronto
Kangiqsualujjuaq (Georges River) Airport	Kangiqsualujjuaq	Canada	XGR	CYLU	-5	America/Toronto
Mary's Harbour Airport	Mary's Harbour	Canada	YMH	CYMH	-3.5	America/St_Johns
Chapais Airport	Chibougamau	Canada	YMT	CYMT	-5	America/Toronto
Umiujaq Airport	Umiujaq	Canada	YUD	CYMU	-5	America/Toronto
Wemindji Airport	Wemindji	Canada	YNC	CYNC	-5	America/Toronto
Norway House Airport	Norway House	Canada	YNE	CYNE	-6	America/Winnipeg
Points North Landing Airport	Points North Landing	Canada	YNL	CYNL	-6	America/Regina
Oxford House Airport	Oxford House	Canada	YOH	CYOH	-6	America/Winnipeg
Inukjuak Airport	Inukjuak	Canada	YPH	CYPH	-5	America/Toronto
Pikangikum Airport	Pikangikum	Canada	YPM	CYPM	-6	America/Winnipeg
Peawanuck Airport	Peawanuck	Canada	YPO	CYPO	-5	America/Toronto
Powell River Airport	Powell River	Canada	YPW	CYPW	-8	America/Vancouver
The Pas Airport	The Pas	Canada	YQD	CYQD	-6	America/Winnipeg
Nakina Airport	Nakina	Canada	YQN	CYQN	-5	America/Toronto
Rae Lakes Airport	Gamètì	Canada	YRA	CYRA	-7	America/Edmonton
Red Lake Airport	Red Lake	Canada	YRL	CYRL	-6	America/Winnipeg
Stony Rapids Airport	Stony Rapids	Canada	YSF	CYSF	-6	America/Regina
Sanikiluaq Airport	Sanikiluaq	Canada	YSK	CYSK	-5	\N
St. Theresa Point Airport	St. Theresa Point	Canada	YST	CYST	-6	America/Winnipeg
Big Trout Lake Airport	Big Trout Lake	Canada	YTL	CYTL	-6	America/Winnipeg
Deer Lake Airport	Deer Lake	Canada	YVZ	CYVZ	-6	America/Winnipeg
Webequie Airport	Webequie	Canada	YWP	CYWP	-5	America/Toronto
Whale Cove Airport	Whale Cove	Canada	YXN	CYXN	-6	America/Winnipeg
Salluit Airport	Salluit	Canada	YZG	CYZG	-5	America/Toronto
York Landing Airport	York Landing	Canada	ZAC	CZAC	-6	America/Winnipeg
Ilford Airport	Ilford	Canada	ILF	CZBD	-6	America/Winnipeg
Bathurst Airport	Bathurst	Canada	ZBF	CZBF	-4	America/Halifax
Eastmain River Airport	Eastmain River	Canada	ZEM	CZEM	-5	America/Toronto
Fond-Du-Lac Airport	Fond-Du-Lac	Canada	ZFD	CZFD	-6	America/Regina
Gods River Airport	Gods River	Canada	ZGI	CZGI	-6	America/Winnipeg
Swan River Airport	Swan River	Canada	ZJN	CZJN	-6	America/Winnipeg
Kashechewan Airport	Kashechewan	Canada	ZKE	CZKE	-5	America/Toronto
Muskrat Dam Airport	Muskrat Dam	Canada	MSA	CZMD	-6	America/Winnipeg
Masset Airport	Masset	Canada	ZMT	CZMT	-8	America/Vancouver
Sachigo Lake Airport	Sachigo Lake	Canada	ZPB	CZPB	-6	America/Winnipeg
Round Lake (Weagamow Lake) Airport	Round Lake	Canada	ZRJ	CZRJ	-6	America/Winnipeg
Sandy Lake Airport	Sandy Lake	Canada	ZSJ	CZSJ	-6	America/Winnipeg
Shamattawa Airport	Shamattawa	Canada	ZTM	CZTM	-6	America/Winnipeg
Churchill Falls Airport	Churchill Falls	Canada	ZUM	CZUM	-4	America/Halifax
Wollaston Lake Airport	Wollaston Lake	Canada	ZWL	CZWL	-6	America/Regina
Batna Airport	Batna	Algeria	BLJ	DABT	1	Africa/Algiers
Béchar Boudghene Ben Ali Lotfi Airport	Béchar	Algeria	CBH	DAOR	1	Africa/Algiers
Bordj Badji Mokhtar Airport	Bordj Badji Mokhtar	Algeria	BMW	DATM	1	Africa/Algiers
Guemar Airport	Guemar	Algeria	ELU	DAUO	1	Africa/Algiers
Kumasi Airport	Kumasi	Ghana	KMS	DGSI	0	Africa/Accra
Heringsdorf Airport	Heringsdorf	Germany	HDF	EDAH	1	Europe/Berlin
Heide-Büsum Airport	Büsum	Germany	HEI	EDXB	1	Europe/Berlin
Helgoland-Düne Airport	Helgoland	Germany	HGL	EDXH	1	Europe/Berlin
Seinäjoki Airport	Seinäjoki / Ilmajoki	Finland	SJY	EFSI	2	Europe/Helsinki
Nottingham Airport	Nottingham	United Kingdom	NQT	EGBN	0	Europe/London
Robin Hood Doncaster Sheffield Airport	"Doncaster, Sheffield"	United Kingdom	DSA	EGCN	0	Europe/London
Campbeltown Airport	Campbeltown	United Kingdom	CAL	EGEC	0	Europe/London
Eday Airport	Eday	United Kingdom	EOI	EGED	0	Europe/London
Fair Isle Airport	Fair Isle	United Kingdom	FIE	EGEF	0	Europe/London
North Ronaldsay Airport	North Ronaldsay	United Kingdom	NRL	EGEN	0	Europe/London
Papa Westray Airport	Papa Westray	United Kingdom	PPW	EGEP	0	Europe/London
Stronsay Airport	Stronsay	United Kingdom	SOY	EGER	0	Europe/London
Sanday Airport	Sanday	United Kingdom	NDY	EGES	0	Europe/London
Lerwick / Tingwall Airport	Lerwick	United Kingdom	LWK	EGET	0	Europe/London
Westray Airport	Westray	United Kingdom	WRY	EGEW	0	Europe/London
Land's End Airport	Land's End	United Kingdom	LEQ	EGHC	0	Europe/London
Penzance Heliport	Penzance	United Kingdom	PZE	EGHK	0	Europe/London
Anglesey Airport	Angelsey	United Kingdom	VLY	EGOV	0	Europe/London
Barra Airport	Barra	United Kingdom	BRR	EGPR	0	Europe/London
Donegal Airport	Dongloe	Ireland	CFN	EIDL	0	Europe/Dublin
Weston Airport	Leixlip	Ireland	\N	EIWT	0	Europe/Dublin
Sindal Airport	Sindal	Denmark	CNL	EKSN	1	Europe/Copenhagen
Leknes Airport	Leknes	Norway	LKN	ENLK	1	Europe/Oslo
Namsos Høknesøra Airport	Namsos	Norway	OSY	ENNM	1	Europe/Oslo
"Mo i Rana Airport, Røssvoll"	Mo i Rana	Norway	MQN	ENRA	1	Europe/Oslo
"Rørvik Airport, Ryum"	Rørvik	Norway	RVK	ENRM	1	Europe/Oslo
Røst Airport	Røst	Norway	RET	ENRS	1	Europe/Oslo
Sandane Airport (Anda)	Sandane	Norway	SDN	ENSD	1	Europe/Oslo
Sogndal Airport	Sogndal	Norway	SOG	ENSG	1	Europe/Oslo
Svolvær Helle Airport	Svolvær	Norway	SVJ	ENSH	1	Europe/Oslo
Sørkjosen Airport	Sorkjosen	Norway	SOJ	ENSR	1	Europe/Oslo
"Vardø Airport, Svartnes"	Vardø	Norway	VAW	ENSS	1	Europe/Oslo
Værøy Heliport	Værøy	Norway	VRY	ENVR	1	Europe/Oslo
Bydgoszcz Ignacy Jan Paderewski Airport	Bydgoszcz	Poland	BZG	EPBY	1	Europe/Warsaw
_ód_ W_adys_aw Reymont Airport	Lodz	Poland	LCJ	EPLL	1	Europe/Warsaw
Åre Östersund Airport	Östersund	Sweden	OSD	ESNZ	1	Europe/Stockholm
Hagfors Airport	Hagfors	Sweden	HFS	ESOH	1	Europe/Stockholm
Karlstad Airport	Karlstad	Sweden	KSD	ESOK	1	Europe/Stockholm
Torsby Airport	Torsby	Sweden	TYF	ESST	1	Europe/Stockholm
Ängelholm-Helsingborg Airport	Ängelholm	Sweden	AGH	ESTA	1	Europe/Stockholm
Storuman Airport	Mohed	Sweden	SQO	ESUD	1	Europe/Stockholm
Hemavan Airport	Hemavan	Sweden	HMV	ESUT	1	Europe/Stockholm
Ventspils International Airport	Ventspils	Latvia	VNT	EVVA	2	Europe/Riga
Rand Airport	Johannesburg	South Africa	QRA	FAGM	2	Africa/Johannesburg
Kruger Mpumalanga International Airport	Mpumalanga	South Africa	MQP	FAKN	2	Africa/Johannesburg
Malamala Airport	Malamala	South Africa	AAM	FAMD	2	Africa/Johannesburg
