Name	City	Country	IATA	ICAO	Elev	
Surat Thani Airport	Surat Thani	Thailand	URT	VTSB	7	Asia/Bangkok
Talkeetna Airport	Talkeetna	United States	TKA	PATK	-9	America/Anchorage
Xewkija Heliport	Gozo	Malta	GZM	LMMG	1	Europe/Malta
Tweed New Haven Airport	New Haven	United States	HVN	KHVN	-5	America/New_York
Asheville Regional Airport	Asheville	United States	AVL	KAVL	-5	America/New_York
Piedmont Triad International Airport	Greensboro	United States	GSO	KGSO	-5	America/New_York
Joe Foss Field Airport	Sioux Falls	United States	FSD	KFSD	-6	America/Chicago
Ayers Rock Connellan Airport	Uluru	Australia	AYQ	YAYE	9.5	Australia/Darwin
Manchester-Boston Regional Airport	Manchester NH	United States	MHT	KMHT	-5	America/New_York
Naples Municipal Airport	Naples	United States	APF	KAPF	-5	America/New_York
LTS Pulau Redang Airport	Redang	Malaysia	RDN	WMPR	8	Asia/Kuala_Lumpur
Louisville International Standiford Field	Louisville	United States	SDF	KSDF	-5	America/New_York
Charlottesville Albemarle Airport	Charlottesville VA	United States	CHO	KCHO	-5	America/New_York
